"Title","Publication.Date","Writer","Full.Text","Type"
"Que va contenir le contrat préliminaire liant l'AADL et l'ENPI aux souscripteurs",2018-10-10,"Lotfi Ramdani","Dans le cadre de l enrichissement du débat sur cette question  Lkeria  a examiné les dispositions de la loi sur la protection du consommateur en Algérie  le code civil ainsi que les autres textes législatifs et réglementaires en relation avec ce sujet  et livre ici des pistes pouvant permettre d arriver à un contrat préliminaire préservant à la fois les droits des deux parties  souscripteurs  AADL et  l ENPI   Il y a lieu de rappeler que l Enpi en charge du programme LPP est un promoteur immobilier public  mais demeure une entreprise économique régie dans ses relations avec les acquéreurs par le code du commerce  et reste soumise aux dispositions de la loi n  89 02 du 7 février 1989 relative aux règles générales de protection du consommateur ainsi qu à la loi n  04 02 du 23 juin 2004  modifiée et complétée  fixant les règles applicables aux pratiques commerciales  notamment son article 30   L AADL est également établissement public à caractère industriel et commercial  régie dans ses relations avec les acquéreurs par le code du commerce  Le contrat est conclu même s il n est pas écritDepuis le début des souscriptions dans les deux formules de logement les plus en vogue en Algérie en 2013  aucun souscripteur location vente et LPP n a signé un contrat en bonne et due forme  Mais  existe il quand même un contrat entre les deux parties   Le code civil dans son article 59 stipule que   le contrat se forme dès que les parties ont échangé leurs volontés concordantes  sans préjudice des dispositions légales    Pour la formule LPP et la location vente  les souscripteurs ont exprimé leurs souhaits d acquérir un logement dans le cadre de l une des formules  en contrepartie l AADL et l ENPI leur ont délivré un ordre de versement pour payer au moins une tranche de l avance personnelle  Ainsi  on peut dire que les deux parties ont échangé leurs volontés et qu un contrat s est formé entre eux  même si ce dernier n est pas écrit  Cette règle générale du droit rassure à elle seule les souscripteurs qui n ont pas pu encore signé un contrat  Les éléments obligatoires à inclure dans le contratSelon les déclarations récentes du Président de l association Apoce  le ministère de l habitat est en cours de préparation de modèle type de contrat pour ces deux formules de logement public  suite à la demande de l association de protection des consommateurs  Ces contrats et selon la législation en vigueur doivent contenir  conformément au décret exécutif n 06 306 du 10 septembre 2006 fixant les éléments essentiels des contrats conclus entre les agents économiques et les consommateurs et les clauses considérées comme abusives  JO n  56 du 11 septembre 2006  P15   un minimum d éléments ayant trait aux droits fondamentaux du consommateur  et qui se rapportent à l information préalable du consommateur  à la loyauté et à la transparence des transactions commerciales  Sont obligatoire aussi les éléments sur la sécurité et la conformité des logements ainsi qu à la garantie au service après vente  Les spécificités et la nature des logements   les prix et tarifs en plus des modalités de paiement doivent être mentionnés dans les contrats  Pour le prix de cession qui doit être indiqué dans le contrat  le code civil permet de se limiter à l indication des bases sur lesquelles ce prix sera fixé ultérieurement  Ce qui a était fait pour le LPP et la location vente    Aussi  le contrat ne doit pas omettre d expliciter les conditions et délais de livraison  les pénalités de retard dans le paiement et ou dans la livraison et les modalités de garantie et de conformité des logements  Enfin  tout contrat doit prévoir les conditions de révision des clauses contractuelles  les conditions de règlement des litiges et surtout les procédures de résiliation dudit contrat  Ne pas tomber dans l abus  Considérant que le consommateur est dans une situation d infériorité quand il signe un contrat d adhésion  la loi de protection des consommateurs a voulu établir l équilibre entre le professionnel et le consommateur  en interdisant certaines clauses qui donnent trop d avantages au professionnel et qu elle juge   abusives    Et parce que le consommateur ne peut pas matériellement supprimer la clause incriminée quand il signe le contrat  la loi considère que même si le contrat a été signé par le consommateur  la clause ne vaut rien  On dit alors qu elle est   réputée non écrite       Il faut faire attention lors de la rédaction des nouveaux contrats pour ne pas tomber dans l un des douze cas de clause abusive  listées par le décret exécutif n 06 306 du 10 septembre 2006 fixant les éléments essentiels des contrats conclus entre les agents économiques et les consommateurs et les clauses considérées comme abusives loi ","logement"
"Enfin des contrats pour le LPP et l'AADL",2018-10-09,"Rédaction Lkeria","Contacté par Lkeria   Mustafa Zebdi confirme que le ministère de l habitat de l urbanisme et de la ville  travaille sur deux décrets  le premier modifiant le décret 01 105 du 23 avril 2001 fixant les conditions et modalités d acquisition dans le cadre de la location vente de logements réalisés sur fonds publics  et un second complétant  le le décret 14 203 du 15 juillet 2014 fixant les conditions et les modalités d acquisition du logement promotionnel public  modification porte sur le modèle type du contrat qui va lier l agence AADL et ses souscripteurs  et les bénéficiaires de logements promotionnels publics et l entreprise nationale de la promotion immobilière ENPI  contrats préciseront  entre autres  les droits et obligations de chaque partie en matière de prix  les modalités de paiement  les conditions de livraison  les pénalités de retard  les modalités de garantie et de conformité  les conditions de révision des clauses  le règlement des litiges et les procédures de résiliation     Rappelons que l Apoce avait esté justice les deux promoteurs publics et une première audience est programmée pour le début du mois de novembre 2018 ","logement"
"Recours AADL 2 : 16,7% seulement des recours acceptés",2018-10-05,"Rédaction Lkeria","Selon les chiffres officiels présentés au siège de l Agence nationale d amélioration et de développement du logement   AADL    le nombre de recours déposés  dans le cadre du programme AADL 1  s élève à 14  recours parmi lesquels 9  ont été accepté  soit un taux d acceptation de 66 2   1  recours acceptés avec réserves  7 5    alors que 3  recours ont été rejetés  soit un taux de rejet de 22 4   En ce qui concerne les recours déposés par les souscripteurs au programme AADL 2  ils s élèvent à 39  recours dont 6  recours acceptés à ce jour  16 7     13  recours rejetés  33 35   et 2  recours acceptés avec des réserves  5 7   alors que 17  recours sont en cours d étude  soit 43 4  des recours déposés   NB   le total des recours AADL 2 avancé par l AADL  39  recours  ne correspond pas à la somme des recours acceptés   rejetés   acceptés avec réserve   en cours d étude  qui donne un total de 39  recours  une erreur de 300 recours       Concernant les recours en cours d étude  le Ministre de l habitat a indiqué que tous les recours seront clos avant la fin de l année    Il est relevé que le taux d acceptation des recours introduits par les souscripteurs AADL 1 estimé à 66 2  et qui atteint 73 7  en comptabilisant les recours acceptés avec réserve  est de loin supérieur au taux d acceptation des recours introduits dans le cadre du programme AADL 2 qui ne dépasse pas 16 7   22 4  avec les recours acceptés avec réserve   Pour rappel  le ministère de l habitat avait indiqué en novembre 2014 avoir reçu 46  recours introduits par les souscripteurs au programme AADL  Ce nombre a atteint 54  recours selon le dernier bilan de l AADL ","aadl"
"Lancement de l'opération de choix des sites AADL 2 à travers 31 wilayas",2018-10-04,"Nabil Walid","Cette opération de choix de sites concerne les wilayas d Alger  Chlef  Laghouat  Oum El Bouaghi  Batna  Béjaïa  Biskra  Blida  Bouira  Tlemcen  Tiaret  Tizi Ouzou  Jijel et Sétif  Saïda  Sidi Bel Abbès  Annaba  Guelma  Constantine  Médéa  Mostaganem  M Sila  Oran  El Bayadh  Boumerdès  El Tarf  Tissemsilt  Souk Ahras  Tipasa  Aïn Defla et Relizane  Pour la wilaya d Alger 8  souscripteurs sont concernés par le choix des sites  pour Oran 7  souscripteurs  Annaba 5  souscripteurs et Consatntine 3  souscripteurs Il est indiqué que les souscripteurs dont la situation familiale a changé auront à cocher une case prévue pour fixer le nombre des membres de la famille  Le site électronique destiné au choix des sites restera ouvert jusqu à ce que l ensemble des souscripteurs concernés aient effectué leurs choix    Par ailleurs  les souscripteurs qui procéderont au choix des sites seront programmés  la semaine prochaine  pour le retrait des ordres de versement et le paiement de la troisième tranche  Pour rappel  en décembre 2017  près de 78  souscripteurs ont  procédé au choix de sites ","aadl"
"5300 logements promotionnels aidés LPA bientôt lancés",2018-10-03,"Rédaction Lkeria","L annonce a été faite par le directeur de logement d Alger  Ismaïl   Loumi  et à l occasion de la célébration de la journée mondiale du logement   le 1er octobre dernier  a déclaré qu il sera finaliser prochainement les enquêtes foncières concernant les terrains récupérés depuis 2014 dans le cadre des opérations de relogement de près de 100  familles     Le foncier récupéré à Alger facilitera la mise en ouvre de nombre de programmes de logement et de projets de développement déjà programmés    précise M  Loumi   Selon ce même responsable la wilaya d Alger  ne connaît actuellement aucun problème concernant le foncier destiné à la réalisation des différentes formules de logements      Les algérois peuvent désormais commencer à préparer leurs dossier d inscription en attendant l ouverture très prochaine des souscriptions au LPA au niveau des 57 communes d Alger ","aadl"
"L'Algérie célèbre la journée Mondiale et Arabe du logement",2018-10-01,"Lotfi Ramdani","Cette célébration est placée Cette année  au plan mondial sous le thème  la gestion municipale des déchets solides dans nos villes avec comme slogan   Waste Wise Cities    Villes   sages   dans la gestion des déchets   rappel  l Assemblée générale de l ONU avait décidé  en 1985  que le premier lundi d octobre de chaque année serait la  Journée mondiale de l Habitat   La journée a été célébrée pour la première fois en 1986 pour marquer le dixième anniversaire de la première conférence internationale sur l habitat  Cette Journée met l accent sur le droit fondamental de tous à un logement adéquat et rappelle également à la communauté internationale sa responsabilité collective dans l avenir de l habitat humain  Comme chaque année le ministère de l habitat de l urbanisme et de la ville a invité l ensemble de ses structures a organisé des expositions et des portes ouvertes à l échelle nationale sur la situation générale de l habitat à travers toutes les wilayas du pays pour faire connaitre au grand public les efforts accomplis en matière d habitat et de logement  Pour sa part  la wilaya d Alger prévoit l organisation d une exposition au niveau du centre culturel Mustafa Kattab à la commune d Alger centre  ou des exposés détaillés seront présentés du plan stratégique de modernisation de la capitale dans sa partie relative à la création des villes nouvelles  à l instar de sidi Abdellah  en plus de la présentation d un bilan détaillé de l opération de relogement ainsi que la situation des programmes AADL  LPP  logement social et LSP  qui sont en cours de réalisation ","logement"
"Benkhalfa critique la politique de logement du Gouvernement",2018-10-01,"Lotfi Ramdani","Il a déclaré dans ce cadre  que   la dépense publique ne doit pas gêner le marché  le marché immobilier est dans tous ses états et nous continuons à distribuer des logements en quantité  ajoutant qu il a été alerté par la loi de finances 2019 qui prévoit la  bonification à 100   donc avec un coût de l argent à 0  de 90  logements AADL supplémentaires    C est très bien sur le plan social  a estimé l ex ministre des finances  mais une telle disposition déstructure le marché immobilier  Ajoutant que sur ce plan là  notre économie n est pas réglée par le marché et les prix  mais par la distribution et le budget  Nous avons considéré que nous devions être en régression  en matière de logements AADL  LSP   concluant que   le marché de l immobilier ne doit pas être un marché alimenté par une forte subvention qui nourrit la spéculation    A une question sur le niveau des transferts sociaux qui ont atteint dans le projet de loi de finances pour 2019 près de 1763 milliards de dinars  Benkhalfa indique que les familles ne prennent que 400 milliards DA  subvention du sucre  pain  lait    le logement à lui seule prend 400 milliards DA  la santé publique avec l état actuel de nos hôpitaux  les expatriés qui viennent chez nous coûtent 400 milliards DA  Pour le logement ont continu encore à alimenter un marché avec des logements en dessous de leur valeur  A une question de la journaliste qui lui a signifié qu il insistait sur le marché immobilier  qu es ce qu il y a lieu de faire  Benkhalfa répond que la demande sociale a été prise en charge  nous l avons prise en charge a t il affirmé  il faut retourner à une organisation du marché où vous allez sur le marché et vous achetez selon vos moyens  à la limite on diminue  via le crédit bancaire et selon des niveaux  Vous ne prenez pas un logement de l Etat au prix de 10 et vous le revendez le lendemain matin à 40  Sur ça  il y a des réglages à opérer  l économie ne peut pas vivre avec un système distributif ","aadl"
"200 000 logements programmés pour 2019",2018-09-29,"Walid Nsaibia","Le ministre de l habitat promoet une année riche en livraison de logement  En plus des 90  logements AADL inscrit dans le projet de loi de finance pour 2019  le premier responsable de l habitat annonce 60  aides rurales au niveau national plus 50  logements promotionnels publics  LPP  ","logement"
"Bessa sous mandat dépôt",2018-09-27,"Nabil Walid","Sur ordre du procureur de la République du tribunal de Chéraga  une brigades de la gendarmerie nationale a procédé à l arrestation d Amazhigh Bessa   suite à une plainte de la Wilaya d Alger  Annahar  les raisons de cette plainte sont l atteinte à la propriété foncière de l État et le bénéfice d importants crédits dans des conditions douteuses par ladite promotion immobilière ","promotion"
"Les Algériens autorisés à acquérir des biens immobiliers en Tunisie",2018-09-21,"Lotfi Ramdani","c est ce qui ressort de la déclaration des responsables Tunisiens qui font état de la promulgation d une circulaire qui encadre les achats des biens immobiliers par les citoyens algériens et libyens   les algérienne peuvent désormais acquérir des biens immobiliers en Tunisie sans autorisation préalable du gouverneur  à condition qu ils soient réglés en devises et que la valeur du bien acheté dépasse 300  dinars tunisiens  l équivalent de 92 235 euros  Les terrains agricoles ne sont pas concernés par cette autorisation  L objectif visé par cette mesure est de faire entrer des devises et renflouer les réserves de changes  de la Tunisie ","immobilier"
