Month,Municipality,Nb.Floor,Nb.Room,Garage,Garden,Furnished,Promise,New.Project,Announcer.Type,price_m2,Region
Jul,BEB EZZOUAR,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,247422.68041237115,EAST
Jul,BIR MOURAD RAIS,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,28e4,NORTH
Jul,BIR MOURAD RAIS,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,323529.4117647059,NORTH
Jul,BIR KHADEM,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,238636.36363636365,NORTH
Jul,BOUZAREAH,4,3,FALSE,FALSE,FALSE,FALSE,TRUE,PARTICULIER,241935.48387096773,NORTH
Jul,ALGER,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,271186.4406779661,NORTH
Jul,CHERAGA,15,3,FALSE,FALSE,FALSE,FALSE,TRUE,BUREAU D'AFFAIRE,2e5,WEST
Jul,CHERAGA,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,152542.37288135593,WEST
Jul,DRARIA,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,2e5,WEST
Jul,LES EUCALYPTUS,5,3,FALSE,FALSE,TRUE,FALSE,FALSE,PARTICULIER,75e3,SOUTH
Jul,OULED FAYET,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,PARTICULIER,177777.77777777778,WEST
Jul,BIR MOURAD RAIS,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,287500,NORTH
Jul,SOUIDANIA,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,15e4,WEST
Jul,BIR KHADEM,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,6e4,NORTH
Jul,BIRTOUTA,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,68965.5172413793,SOUTH
Jul,CHERAGA,15,4,TRUE,FALSE,FALSE,FALSE,TRUE,BUREAU D'AFFAIRE,2e5,WEST
Jul,DRARIA,15,4,TRUE,FALSE,FALSE,TRUE,FALSE,BUREAU D'AFFAIRE,2e5,WEST
Jul,OULED FAYET,15,4,TRUE,TRUE,FALSE,FALSE,TRUE,BUREAU D'AFFAIRE,18e4,WEST
